feature,Neutral mass (Da),mz,Charge,rt,Chromatographic peak width (min),Identifications,Max Fold Change,Highest Mean,Lowest Mean,Isotope Distribution,Maximum Abundance,Minimum CV%
11.14_546.3562m/z,,546.356206340362,1,668.296000000002,0.0857500000000009,0,Infinity,2,Z,100 - 8.01,506.470225889767,7.47
11.16_279.2325m/z,,279.232539612283,1,669.325000000002,0.188633333333334,0,Infinity,3,Z,100 - 12,2420.09674354737,3.54
11.19_991.6750m/z,,991.674979219073,1,671.383000000002,0.102883333333333,0,Infinity,2,Z,100 - 51 - 10.8 - 0.551,5598.87226284306,6.46
11.10_570.3565m/z,,570.35646206915,1,666.238000000002,0.120050000000001,0,Infinity,2,Z,100 - 25.8,1478.61231512538,5.77
11.10_508.3407m/z,,508.340690462211,1,666.238000000002,0.1372,0,Infinity,2,Z,100 - 4.81,595.055711934487,7.96
11.12_235.1696m/z,,235.169602540088,1,667.267000000002,0.0514500000000009,0,Infinity,Z,SV,100,485.429000613248,6.39
11.24_303.2326m/z,,303.232633442099,1,674.4689999999999,0.102883333333333,0,Infinity,3,Z,100,571.90996544755,7.59
11.33_546.3561m/z,,546.356096763909,1,679.614,0.257249999999999,0,Infinity,2,Z,100 - 28.1 - 3.87,9026.81436122832,4.22
11.40_454.2936m/z,,454.293553591994,1,683.73,0.1372,0,Infinity,2,Z,100 - 16.8,1496.51880129562,4.93
11.19_498.3464m/z,,498.346391190355,1,671.383000000002,0.154333333333334,0,Infinity,2,Z,100 - 2.03,1003.06770443049,4.61
11.19_297.1475m/z,,297.147454502982,1,671.383000000002,0.102883333333333,0,Infinity,2,Z,100 - 18.4,432.613147522176,12.75
11.19_184.0742m/z,,184.074189946164,1,671.383000000002,0.0685833333333346,0,Infinity,2,Z,100,154.972792826163,10.77
10.89_543.3340n,543.33397932738,544.34125575938,1,653.203999999998,0.337283333333334,0,Infinity,3,Z,100 - 31.2 - 5.33 - 0.232,29297.5892918342,4.33
10.89_1063.6759m/z,,1063.67588317215,1,653.203999999998,0.1372,0,Infinity,2,Z,100 - 59.3 - 18.9 - 2.55,8791.94460396335,5.93
10.89_300.6349m/z,,300.63492315474,1,653.203999999998,0.0857499999999991,0,Infinity,2,Z,100,158.905455068656,9.26
10.80_417.1318m/z,,417.131773983988,1,648.0589999999979,0.1029,0,Infinity,3,Z,100,296.079314944006,8.23
10.85_478.2939m/z,,478.293855679576,1,651.145999999998,0.234383333333334,0,Infinity,2,Z,100 - 22.1,3034.10271287999,4.20
10.85_502.2950m/z,,502.295023487568,1,651.145999999998,0.217233333333335,0,Infinity,2,Z,100 - 24 - 0.244,2625.75790064156,4.14
10.90_520.5171m/z,,520.51714087227,1,654.2329999999979,0.0514499999999991,0,Infinity,2,Z,100,897.237456002991,5.53
10.90_289.1358m/z,,289.135825916897,1,654.2329999999979,0.0857500000000009,0,Infinity,2,Z,100,164.213192488217,8.74
10.90_542.3227m/z,,542.322669799966,1,654.2329999999979,0.0686,0,Infinity,3,Z,100,224.026653648317,9.95
10.90_519.3340n,519.334006964573,520.341283396573,1,654.2329999999979,0.525916666666665,0,Infinity,3,Z,100 - 31.9 - 6.53 - 0.863,97591.4108322465,3.69
10.90_288.6342m/z,,288.634212614884,1,654.2329999999979,0.165783333333334,0,Infinity,4,Z,100 - 36.1,1030.54725903547,2.33
10.90_548.3015m/z,,548.301519154193,2,654.2329999999979,0.0857500000000009,0,Infinity,2,Z,100 - 37 - 32.2,521.727786391047,9.67
11.48_570.3572m/z,,570.357154720517,1,688.875,0.0514500000000009,0,Infinity,3,Z,100,164.056226980291,10.82
11.50_1017.6918m/z,,1017.69180102211,1,689.904,0.154333333333334,0,Infinity,2,Z,100 - 57.9,2846.02089087065,3.83
11.50_1091.6002m/z,,1091.60023773603,1,689.904,0.171483333333333,0,Infinity,SCQC,Z,100 - 26.3,1543.82167145381,26.32
11.45_184.0742m/z,,184.074229335093,1,686.817,0.1029,0,Infinity,2,Z,100,261.811039845272,3.47
11.45_515.3154m/z,,515.315376765287,1,686.817,0.1029,0,Infinity,2,Z,100,183.255618874951,17.37
11.46_267.6480m/z,,267.647968156653,1,687.846,0.0686,0,Infinity,3,Z,100,81.2395218590199,21.24
11.76_521.3499n,521.349856981907,522.357133413907,1,705.337999999998,0.491633333333334,0,Infinity,2,Z,100 - 31 - 6.39 - 0.683,88935.0899410524,3.21
11.74_289.6422m/z,,289.642230276817,1,704.3089999999979,0.1715,0,Infinity,2,Z,100 - 35.5,1103.28713889485,4.33
11.74_1017.6924m/z,,1017.6923551088,1,704.3089999999979,0.1715,0,Infinity,2,Z,100 - 43.3 - 1.15,1980.9536228437,7.98
11.55_303.2327m/z,,303.232651201185,1,692.991,0.120033333333332,0,Infinity,3,Z,100 - 10.4,1011.32207464985,6.06
11.67_546.3570m/z,,546.356953492163,1,700.1929999999979,0.0857500000000009,0,Infinity,2,Z,100,425.913004254141,11.17
11.70_480.3103m/z,,480.310301315107,1,702.2509999999979,0.1029,0,Infinity,2,Z,100 - 20.4,1690.66811345827,3.27
11.43_1041.6917m/z,,1041.69171904012,1,685.788,0.0857500000000009,0,Infinity,2,Z,100 - 31.8,655.452145864356,9.37
11.45_495.3346n,495.334637547216,496.341913979216,1,686.817,0.617366666666666,0,Infinity,2,SV,100 - 34.6 - 7.72 - 1.44 - 0.15,447127.637982985,4.80
11.45_496.5134m/z,,496.513379418315,1,686.817,0.1372,0,Infinity,2,Z,100 - 8.83,7359.07364056942,4.58
11.41_385.3105m/z,,385.310510737278,1,684.759,0.188649999999999,0,Infinity,SCQC,Z,100 - 25.1,5444.11057207024,4.85
11.41_949.6298m/z,,949.629790641485,1,684.759,0.0686,0,Infinity,2,Z,100,294.295408509478,28.26
11.41_303.2330m/z,,303.232997245037,1,684.759,0.0514500000000009,0,Infinity,3,Z,100,220.517492246817,12.93
11.45_1019.6400m/z,,1019.64000389102,2,686.817,0.1372,0,Infinity,2,Z,100 - 90.5 - 82.6 - 51.6 - 23.9 - 4.69,6699.21273624364,5.34
11.45_771.9687m/z,,771.968677345648,2,686.817,0.154350000000001,0,Infinity,2,Z,100 - 78.3 - 71.1 - 36.8 - 12.7,3910.15134517445,5.47
11.45_496.6942m/z,,496.694167216468,1,686.817,0.0857500000000009,0,Infinity,2,Z,100,1594.58084258831,3.57
11.45_297.1476m/z,,297.147566380346,2,686.817,0.274383333333333,0,Infinity,SCQC,Z,100 - 30 - 41.4 - 9.09 - 0.719,4288.07195601331,2.52
11.45_524.3017m/z,,524.301708996018,2,686.817,0.205783333333333,0,Infinity,2,Z,100 - 51.9 - 51.9 - 21.5 - 7.29,4783.42189618876,4.32
11.45_991.9205m/z,,991.920531168841,1,686.817,0.0686,0,Infinity,2,Z,100 - 7.9,2071.29119988679,32.76
10.80_482.3251m/z,,482.325078356138,1,648.0589999999979,0.154350000000001,0,Infinity,2,Z,100 - 22,2571.47859859796,4.96
9.55_286.1436m/z,,286.143642925729,1,573.2890000000001,0.0685833333333328,0,Infinity,3,Z,100,178.56098392547,5.87
9.90_531.2746m/z,,531.274648542315,1,593.868,0.0857333333333337,0,Infinity,QC,Z,100 - 38.7,1545.56702030138,5.88
9.90_460.2697m/z,,460.26971741949,1,593.868,0.165783333333332,0,Infinity,QC,Z,100 - 17.9,1253.1972941902,7.44
9.47_583.2553m/z,,583.25529833522,1,568.1440000000002,0.1029,0,Infinity,3,Z,100 - 19.4,979.79659549734,6.43
9.47_251.1278m/z,,251.127765392832,1,568.1440000000002,0.0514499999999991,0,Infinity,3,Z,100,153.753956593383,7.13
9.47_209.1176m/z,,209.117585457136,1,568.1440000000002,0.0514499999999991,0,Infinity,QC,Z,100,150.606173606915,9.20
10.12_357.2791m/z,,357.27912291901,1,606.901000000002,0.0857500000000009,0,Infinity,1,Z,100,240.064609842076,7.93
10.24_468.3093m/z,,468.309319933874,1,614.104000000002,0.222933333333334,0,Infinity,2,Z,100 - 21.5 - 1.33,5929.76953115761,4.13
10.27_274.2745m/z,,274.274505469466,1,616.162000000002,0.360133333333334,0,Infinity,B,SV,100 - 14.6,5361.66866762672,5.60
9.90_846.4434m/z,,846.443400945512,1,593.868,0.120033333333332,0,Infinity,QC,Z,100 - 36.1,1254.26719551081,6.65
9.90_119.0864m/z,,119.086419229464,1,593.868,0.0685833333333328,0,Infinity,QC,Z,100,140.866342997078,7.47
9.90_432.2386m/z,,432.238619262155,1,593.868,0.0857333333333319,0,Infinity,QC,Z,100,184.344751679567,10.94
9.18_979.6127m/z,,979.612705456767,1,550.6519999999998,0.274383333333335,0,Infinity,2,Z,100,988.787520603115,81.32
9.21_387.1802m/z,,387.180223667273,1,552.7099999999998,0.308683333333333,0,Infinity,Z,SV,100 - 22.9 - 2.21,15274.4364605878,3.73
9.21_489.2268m/z,,489.226804840355,1,552.7099999999998,0.0857333333333337,0,Infinity,QC,Z,100 - 25.9,1110.70798785518,8.25
9.14_463.2331m/z,,463.233123540614,1,548.5939999999997,0.0857500000000009,0,Infinity,1,Z,100,569.700172028026,6.84
9.16_979.7247m/z,,979.724742021089,3,549.6229999999998,0.342983333333333,0,Infinity,2,Z,100 - 46.8,2968.74253014229,68.64
9.18_979.9465m/z,,979.94650899975,1,550.6519999999998,0.342983333333335,0,Infinity,2,Z,100,1743.64874394048,64.23
9.21_105.0705m/z,,105.070533854267,1,552.7099999999998,0.0514333333333337,0,Infinity,QC,Z,100,110.486312318045,7.26
9.21_404.2062m/z,,404.206247773918,1,552.7099999999998,0.0685833333333328,0,Infinity,SCQC,Z,100,191.197356888072,6.16
9.25_979.8359m/z,,979.83585664798,1,554.7670000000002,0.342983333333335,0,Infinity,2,Z,100,2198.84043084937,50.01
9.21_790.3789m/z,,790.378943389071,1,552.7099999999998,0.120033333333334,0,Infinity,SCQC,Z,100 - 29.1,1001.06700224794,5.34
9.21_432.2377m/z,,432.237663134298,1,552.7099999999998,0.154333333333334,0,Infinity,3,Z,100,627.856590901364,9.95
9.21_316.2479m/z,,316.247931967003,1,552.7099999999998,0.137183333333333,0,Infinity,QC,Z,100,360.24978708749,6.39
10.78_891.3836m/z,,891.383647565732,1,647.029999999998,0.1372,0,Infinity,3,Z,100 - 51.4 - 49.7 - 19.4 - 6.09,8342.00344711893,3.39
10.78_324.2170m/z,,324.217007863836,1,647.029999999998,0.1372,0,Infinity,3,Z,100 - 10.1,1261.016148152,5.43
10.78_331.1082n,331.108178720524,332.115455152524,1,647.029999999998,0.1372,0,Infinity,3,Z,100 - 1.65,1163.60290059572,4.07
10.78_166.0273n,166.027332125358,167.034521296687,1,647.029999999998,0.302983333333334,0,Infinity,3,Z,100 - 3.29,4465.08152209331,3.33
10.78_526.2938m/z,,526.293841508319,1,647.029999999998,0.1715,0,Infinity,QC,Z,100 - 23,1494.96386998021,3.92
10.78_138.0324n,138.032366418581,139.039718084465,1,647.029999999998,0.154349999999999,0,Infinity,3,Z,100 - 0.607,1763.76504880537,3.51
10.78_219.9904m/z,,219.990444410432,1,647.029999999998,0.120050000000001,0,Infinity,3,Z,100,343.855609158194,5.89
10.78_134.0607m/z,,134.060675434728,1,647.029999999998,0.0857500000000009,0,Infinity,3,Z,100,302.309065412541,4.83
10.80_568.3409m/z,,568.340937472773,1,648.0589999999979,0.2058,0,Infinity,3,Z,100 - 26.9 - 3.3,5451.56281585561,4.37
10.78_654.2575m/z,,654.257469244881,1,647.029999999998,0.1372,0,Infinity,3,Z,100 - 31.7 - 39.8 - 3.48,2277.34309273729,4.73
10.78_289.1396n,289.139611508603,579.292782460291,1,647.029999999998,0.120049999999999,0,Infinity,3,Z,100 - 18.1,1652.65221632797,4.48
10.78_889.3823m/z,,889.382325457014,1,647.029999999998,0.120049999999999,0,Infinity,3,Z,100 - 33.5,878.316257433416,10.83
10.39_519.3285m/z,,519.328544868532,1,623.364,0.0514333333333337,0,Infinity,2,Z,100,122.207242802005,27.12
10.51_312.2307n,312.230708655126,295.227420405126,1,630.567,0.1715,0,Infinity,3,Z,100 - 9.63,3406.65352759265,5.25
10.51_358.2957m/z,,358.295737609738,1,630.567,0.0857500000000009,0,Infinity,3,Z,100,470.287462174665,10.22
10.29_542.3255m/z,,542.325521566265,1,617.191000000002,0.137183333333333,0,Infinity,2,Z,100 - 25.1,2295.77409678915,5.12
10.29_518.3252m/z,,518.325238125165,1,617.191000000002,0.1029,0,Infinity,2,Z,100 - 16.2,927.861395029812,7.71
10.29_357.2795m/z,,357.279508905956,1,617.191000000002,0.0857500000000009,0,Infinity,1,Z,100 - 1.97,295.019709910536,9.40
10.70_522.3470m/z,,522.346978850546,1,641.886,0.0857333333333337,0,Infinity,2,Z,100,179.449206169419,9.93
10.72_545.3443m/z,,545.344340319782,1,642.913999999998,0.120033333333334,0,Infinity,3,Z,100,486.528855204599,6.63
10.78_278.1520n,278.152029705229,279.159306137229,1,647.029999999998,0.320133333333334,0,Infinity,3,SV,100 - 14.9 - 0.173,8703.72213131739,3.48
10.53_494.3255m/z,,494.325487693456,1,631.596,0.360133333333332,0,Infinity,2,Z,100 - 23 - 1.78,11188.6961801422,4.35
10.53_354.2646m/z,,354.264646238645,1,631.596,0.0857500000000009,0,Infinity,3,SV,100 - 9.35,589.120921619598,10.61
