sample,class,id,order,batch
NZ_20200227_001,Z,NZ_20200227_001,1,1
NZ_20200227_003,SV,NZ_20200227_003,2,1
NZ_20200227_099,SV,NZ_20200227_099,3,1
NZ_20200227_005,B,NZ_20200227_005,4,1
NZ_20200227_095,B,NZ_20200227_095,5,1
NZ_20200227_007,SSS,NZ_20200227_007,6,1
NZ_20200227_097,SSS,NZ_20200227_097,7,1
NZ_20200227_009,SCQC,NZ_20200227_009,8,1
NZ_20200227_011,SCQC,NZ_20200227_011,9,1
NZ_20200227_013,SCQC,NZ_20200227_013,10,1
NZ_20200227_015,SCQC,NZ_20200227_015,11,1
NZ_20200227_017,SCQC,NZ_20200227_017,12,1
NZ_20200227_019,SCQC,NZ_20200227_019,13,1
NZ_20200227_021,SCQC,NZ_20200227_021,14,1
NZ_20200227_023,SCQC,NZ_20200227_023,15,1
NZ_20200227_025,QC,NZ_20200227_025,16,1
NZ_20200227_027,QC,NZ_20200227_027,17,1
NZ_20200227_029,QC,NZ_20200227_029,18,1
NZ_20200227_039,QC,NZ_20200227_039,19,1
NZ_20200227_049,QC,NZ_20200227_049,20,1
NZ_20200227_059,QC,NZ_20200227_059,21,1
NZ_20200227_069,QC,NZ_20200227_069,22,1
NZ_20200227_079,QC,NZ_20200227_079,23,1
NZ_20200227_089,QC,NZ_20200227_089,24,1
NZ_20200227_091,QC,NZ_20200227_091,25,1
NZ_20200227_093,QC,NZ_20200227_093,26,1
NZ_20200227_031,4,NZ_20200227_031,27,1
NZ_20200227_047,4,NZ_20200227_047,28,1
NZ_20200227_053,4,NZ_20200227_053,29,1
NZ_20200227_063,4,NZ_20200227_063,30,1
NZ_20200227_075,4,NZ_20200227_075,31,1
NZ_20200227_085,4,NZ_20200227_085,32,1
NZ_20200227_033,1,NZ_20200227_033,33,1
NZ_20200227_043,1,NZ_20200227_043,34,1
NZ_20200227_057,1,NZ_20200227_057,35,1
NZ_20200227_061,1,NZ_20200227_061,36,1
NZ_20200227_071,1,NZ_20200227_071,37,1
NZ_20200227_087,1,NZ_20200227_087,38,1
NZ_20200227_035,3,NZ_20200227_035,39,1
NZ_20200227_041,3,NZ_20200227_041,40,1
NZ_20200227_055,3,NZ_20200227_055,41,1
NZ_20200227_067,3,NZ_20200227_067,42,1
NZ_20200227_077,3,NZ_20200227_077,43,1
NZ_20200227_081,3,NZ_20200227_081,44,1
NZ_20200227_037,2,NZ_20200227_037,45,1
NZ_20200227_045,2,NZ_20200227_045,46,1
NZ_20200227_051,2,NZ_20200227_051,47,1
NZ_20200227_065,2,NZ_20200227_065,48,1
NZ_20200227_073,2,NZ_20200227_073,49,1
NZ_20200227_083,2,NZ_20200227_083,50,1
